Date,TCS,Infosys,HCL,Wirpo
2016,1157,501,410,173
2016,1170,506,415,175
2016,1144,502,412,174
2016,1141,503,410,174
2016,1130,496,416,175
2016,1104,500,410,175
2016,1100,495,400,174
2016,1104,489,400,170
2016,1098,495,402,172
2016,1098,492,397,172
2016,1077,483,393,170
2016,1091,483,390,172
2016,1093,481,397,171
2016,1111,482,397,173
2016,1132,488,402,176
2016,1138,488,402,174
2016,1130,486,403,174
2016,1141,490,403,173
2016,1150,489,401,174
2016,1094,465,384,169
2016,1078,460,382,168
2016,1068,457,381,169
2016,1066,456,379,166
2016,1063,460,382,164
2016,1069,465,380,164
2016,1095,470,387,167
2016,1061,462,385,168
2016,1051,461,382,166
2016,1078,470,395,167
2016,1085,479,392,168
2016,1142,491,405,169
2016,1139,489,409,169
2016,1165,486,397,170
2016,1160,483,382,168
2016,1152,491,382,172
2016,1175,495,386,173
2016,1196,501,384,174
2016,1199,499,382,173
2016,1209,502,387,173
2016,1198,507,395,177
2016,1199,509,402,181
2016,1214,514,405,181
2016,1214,519,416,187
2016,1201,518,408,186
2016,1198,521,415,186
2016,1200,520,417,181
2016,1181,511,404,177
2016,1183,514,406,178
2016,1164,526,402,179
2016,1190,515,407,179
2016,1184,506,403,179
2016,1194,514,401,179
2016,1193,521,408,180
2016,1203,525,409,181
2016,1206,519,404,180
2016,1215,518,400,180
2016,1219,515,396,177
2016,1212,519,398,181
2016,1218,520,398,182
2016,1201,518,394,180
2016,1199,521,399,180
2016,1189,529,394,181
2016,1207,528,396,181
2016,1203,525,396,180
2016,1206,531,395,180
2016,1181,530,393,180
2016,1163,521,390,179
2016,1164,523,388,179
2016,1180,527,391,180
2016,1176,518,390,180
2016,1161,519,387,178
2016,1220,527,394,181
2016,1242,523,393,181
2016,1257,516,392,181
2016,1254,519,392,181
2016,1256,518,389,184
2016,1272,520,387,184
2016,1250,511,378,180
2016,1262,510,389,184
2016,1276,518,399,189
2016,1286,529,395,195
2016,1301,520,396,195
2016,1274,508,386,193
2016,1302,511,391,195
2016,1319,512,393,197
2016,1312,517,392,198
2016,1346,526,396,201
2016,1369,531,407,204
2016,1355,539,412,204
2016,1338,541,409,203
2016,1325,542,408,207
2016,1325,539,410,206
2016,1325,534,411,205
2016,1326,536,412,206
2016,1328,542,413,205
2016,1350,542,400,206
2016,1354,543,390,209
2016,1310,537,376,204
2016,1310,539,375,208
2016,1289,543,377,206
2016,1276,544,373,205
2016,1279,540,370,204
2016,1258,536,365,202
2016,1253,540,362,203
2016,1247,542,365,202
2016,1233,543,365,206
2016,1217,541,361,207
2016,1223,536,359,208
2016,1261,588,364,214
2016,1247,597,360,215
2016,1232,588,361,214
2016,1232,588,358,213
2016,1213,579,361,211
2016,1215,579,359,210
2016,1243,588,369,212
2016,1247,592,374,211
2016,1250,586,366,210
2016,1277,585,365,209
2016,1251,588,364,208
2016,1232,580,357,203
2016,1248,583,368,206
2016,1287,597,371,208
2016,1323,606,385,211
2016,1334,600,385,211
2016,1326,603,385,210
2016,1330,604,385,209
2016,1301,590,377,207
2016,1279,593,376,206
2016,1278,595,378,205
2016,1267,588,376,204
2016,1274,590,377,203
2016,1278,590,376,205
2016,1289,593,377,204
2016,1307,619,372,204
2016,1316,629,363,202
2016,1306,633,362,201
2016,1315,633,361,203
2016,1325,631,361,203
2016,1317,629,367,208
2016,1285,624,370,205
2016,1318,634,374,206
2016,1286,624,379,205
2016,1274,617,370,204
2016,1263,604,375,205
2016,1234,594,370,202
2016,1246,594,367,202
2016,1265,601,368,204
2016,1278,603,365,204
2016,1276,605,371,202
2016,1285,607,366,203
2016,1276,608,359,203
2016,1262,604,362,202
2016,1283,605,357,203
2016,1259,601,354,202
2016,1261,606,359,202
2016,1256,600,361,202
2016,1237,591,361,200
2016,1235,596,366,204
2016,1239,594,369,203
2016,1239,589,364,204
2016,1263,601,371,206
2016,1268,604,375,208
2016,1264,605,400,207
2016,1256,620,419,210
2016,1245,616,425,208
2016,1226,608,423,207
2016,1209,606,423,209
2016,1212,613,423,210
2016,1225,622,421,225
2016,1260,619,427,221
2016,1263,586,419,219
2016,1259,591,420,214
2016,1253,592,420,212
2016,1216,583,417,206
2016,1235,591,414,207
2016,1241,600,419,209
2016,1231,610,422,210
2016,1236,622,420,212
2016,1227,603,410,211
2016,1260,609,407,212
2016,1245,603,410,211
2016,1235,599,403,207
2016,1237,602,405,209
2016,1237,604,409,208
2016,1237,595,414,207
2016,1223,597,411,209
2016,1213,597,412,207
2016,1176,581,408,202
2016,1164,576,407,202
2016,1165,567,406,200
2016,1178,571,414,203
2016,1183,572,412,202
2016,1174,571,409,201
2016,1179,589,408,202
2016,1177,582,408,203
2016,1179,585,418,201
2016,1187,585,430,204
2016,1159,578,427,202
2016,1138,563,416,201
2016,1088,542,407,195
2016,1105,561,412,199
2016,1106,555,404,200
2016,1105,563,406,200
2016,1132,562,414,202
2016,1158,563,423,204
2016,1160,564,426,205
2016,1158,562,422,203
2016,1138,549,412,198
2016,1133,540,412,197
2016,1135,546,414,197
